front,hl,word,meaning,sentence,analogy
"系","系","系","挂。论语阳货：\""吾岂匏瓜也哉？","吾岂匏瓜也哉？焉能系而不食？","王力《古代汉语》"
"牵","牵","牵","牵","有牵牛而过堂下者。","王力《古代汉语》"
"县","县","县","读xuán，阳平声。悬挂，诗经魏风伐檀：\""胡瞻尔庭有～貆兮！\""枚乘上书谏吴王：\""上～无极之高，下垂不测之渊。","胡瞻尔庭有县貆兮！","王力《古代汉语》"
"结","结","结","打结。老子二十七章：\""善闭无关楗而不可开，善～无绳约而不可解。","系绝於天，不可复结。","王力《古代汉语》"
"绝","绝","绝","［绳索］断。枚乘上书谏吴王：\""系方～，又重镇之。","系方绝，又重镇之。","王力《古代汉语》"
"擅","擅","擅","专有，持有，领有，占有。晁错论贵粟疏：\""爵者上之所～。","爵者上之所擅。","王力《古代汉语》"
"披","披","披","剖开。邹阳狱中上梁王书：\""～心腹，见情素。","披心腹，见情素。","王力《古代汉语》"
"拉","拉","拉","拉","范睢拉胁折齿於魏。","王力《古代汉语》"
"奸","奸","奸","邪恶。左传僖公二十四年：\""弃德崇～。","弃德崇奸。","王力《古代汉语》"
"回","回","回","转，掉转。楚辞离骚：\""～朕车以复路兮。","回朕车以复路兮。","王力《古代汉语》"
"雅","雅","雅","鸟名。乌的一种。","鸦","王力《古代汉语》"
"俗","俗","俗","社会习惯，社会风气。孟子公孙丑上：\""其故家遗～，流风善政，犹有存者。","其故家遗俗，流风善政，犹有存者。","王力《古代汉语》"
"公","公","公","公家的（统治者的）。跟\""私\""相对。","私","王力《古代汉语》"
"私","私","私","私人的。贾谊论积贮疏：\""公～之积，犹可哀痛。","公私之积，犹可哀痛。","王力《古代汉语》"
"偏","偏","偏","不正。尚书洪范：\""无～无颇。","无偏无颇。","王力《古代汉语》"
"全","全","全","完备，完全，齐备。枚乘上书谏吴王：\""臣闻得～者昌，失～者亡。","臣闻得全者昌，失全者亡。","王力《古代汉语》"
"独","独","独","单独，孤独。礼记大学：\""故君子必慎其～也。","故君子必慎其独也。","王力《古代汉语》"
"特","特","特","公牛。三国志魏志明帝纪：\""遣使者以～牛祠中狱。","遣使者以特牛祠中狱。","王力《古代汉语》"
"丑","丑","丑","难看。后汉书梁鸿传：\""同县孟氏有女，状肥～而黑。","行莫丑於辱先。","王力《古代汉语》"
"陋","陋","陋","陋","在陋巷，人不堪其忧，回也不改其乐。","王力《古代汉语》"
"秽","秽","秽","荒芜。楚辞离骚：\""哀众芳之芜～。","哀众芳之芜秽。","王力《古代汉语》"
"玄","玄","玄","黑中带赤。诗经豳风七月：\""八月载绩，载～载黄。","八月载绩，载玄载黄。","王力《古代汉语》"
"素","素","素","没有染色的。诗经召南羔羊：\""～丝五紽。","素丝五紽。","王力《古代汉语》"
"白","白","白","白色的。诗经秦风蒹葭：\""～露为霜。","白露为霜。","王力《古代汉语》"
"方","方","方","两船平行。诗经周南汉广：\""江之永矣，不可～思。","江之永矣，不可方思。","王力《古代汉语》"
"夙","夙","夙","早晨，清晨。常以\""夙夜\""连用。","夙夜","王力《古代汉语》"
"惟","惟","惟","思想。诗经大雅生民：\""载谋载～。","载谋载惟。","王力《古代汉语》"
"霄","霄","霄","霄","涉清霄而升遐兮。","王力《古代汉语》"
"汉","汉","汉","水名。孟子滕文公上：\""决汝～，排淮泗，而注之江。","决汝汉，排淮泗，而注之江。","王力《古代汉语》"
"景","景","景","日光。左思咏史诗：\""皓天舒白日，灵～耀神州。","皓天舒白日，灵景耀神州。","王力《古代汉语》"
"曜","曜","曜","日光。水经注庐江水：\""晨光初散，则延～入石。","晨光初散，则延曜入石。","王力《古代汉语》"
"都","都","都","大邑。左传隐公元年：\""～城过百雉，国之害也。","都城过百雉，国之害也。","王力《古代汉语》"
"邑","邑","邑","国。在左传里，称别人的国为\""大国\""，自称为\""敝～。","大国","王力《古代汉语》"
"鄙","鄙","鄙","边邑。左传隐公元年：\""既而大叔命西～北～贰於己。","既而大叔命西鄙北鄙贰於己。","王力《古代汉语》"
"边","边","边","边疆。贾谊论积贮疏：\""卒然～境有急。","卒然边境有急。","王力《古代汉语》"
"塞","塞","塞","读sài。边界上的险要地方。","凉秋九月，塞外草衰。","王力《古代汉语》"
"殷","殷","殷","众，盛。诗经郑风溱洧：\""士与女，～其盈矣。","士与女，殷其盈矣。","王力《古代汉语》"
"周","周","周","环绕。左传成公二年：\""逐之，三～华不注。","远而周知天下之故。","王力《古代汉语》"
"胡","胡","胡","兽颈下垂的肉。诗经豳风狼跋：\""狼跋其～。","狼跋其胡。","王力《古代汉语》"
"虏","虏","虏","俘获。史记淮阴侯列传：\""於是汉兵夹击，大破～赵军。","於是汉兵夹击，大破虏赵军。","王力《古代汉语》"
"戎","戎","戎","兵器。礼记月令：\""乃教於田猎，以习五～。","伏戎於莽。","王力《古代汉语》"
"倡","倡","倡","读chāng，阴平声。以歌舞演戏为业的人。","倡优畜之。","王力《古代汉语》"
"优","优","优","扮演杂戏的人。左传襄公二十八年：\""士皆释甲束马而饮酒，且观～。","士皆释甲束马而饮酒，且观优。","王力《古代汉语》"
"伎","伎","伎","技艺，才能。尚书泰誓：\""无他～。","无他伎。","王力《古代汉语》"
"宦","宦","宦","当贵族的仆隶。左传宣公二年：\""～三年矣。","宦三年矣。","王力《古代汉语》"
"竖","竖","竖","竖立。后汉书灵帝纪：\""槐树自拔倒～。","槐树自拔倒竖。","王力《古代汉语》"
"臧","臧","臧","好，良好。诗经鄘风定之方中：\""卜云其吉，终焉允～。","邂逅相遇，与子偕臧。","王力《古代汉语》"
"获","获","获","猎得［禽兽］。孟子滕文公下：\""终日而不～一禽。","终日而不获一禽。","王力《古代汉语》"
"禄","禄","禄","天的赏赐，食福。诗经大雅既醉：\""天被尔～。","天被尔禄。","王力《古代汉语》"
"位","位","位","位","朝廷有位。","王力《古代汉语》"
"产","产","产","生，出生。孟子滕文公上：\""陈良，楚～也。","陈良，楚产也。","王力《古代汉语》"
"业","业","业","业","故绝宾客之知，忘室家之业。","王力《古代汉语》"
"货","货","货","财物，物资。孟子梁惠王下：\""寡人好～。","寡人好货。","王力《古代汉语》"
"赂","赂","赂","财物。常以\""货赂\""二字连用。","货赂","王力《古代汉语》"
"资","资","资","钱财。周易旅卦：\""怀其～。","怀其资。","王力《古代汉语》"
"财","财","财","财物，钱财。韩非子说难：\""暮而果大亡其～。","暮而果大亡其财。","王力《古代汉语》"
"贿","贿","贿","财物。诗经卫风氓：\""以尔车来，以我～迁。","以尔车来，以我贿迁。","王力《古代汉语》"
"性","性","性","性","性相近也，习相远也。","王力《古代汉语》"
"情","情","情","情","何谓人情？喜怒哀乐爱恶欲七者，不学而能。","王力《古代汉语》"
"声","声","声","声音。孟子梁惠王上：\""闻其～不忍食其肉。","闻其声不忍食其肉。","王力《古代汉语》"
"响","响","响","回声。贾谊过秦论上：\""天下云集～应。","影响","王力《古代汉语》"
"拳","拳","拳","动词。握拳。","女两手皆拳。","王力《古代汉语》"
"脚","脚","脚","脚","乳闲股脚。","王力《古代汉语》"
"端","端","端","端正，正直。孟子离娄下：\""夫尹公之他，～人也。","夫尹公之他，端人也。","王力《古代汉语》"
"绪","绪","绪","丝的头绪。易林兑之坎：\""丝多～乱，端不可得。","丝多绪乱，端不可得。","王力《古代汉语》"
"节","节","节","竹节，木节。左思吴都赋：\""竹则苞笋抽～。","不遇槃根错节，何以别利器乎？","王力《古代汉语》"
"度","度","度","读duò，去声。量长短。","度，然后知长短。","王力《古代汉语》"
"议","议","议","发表言论。诗经小雅北山：\""或出入风～。","或出入风议。","王力《古代汉语》"
"论","论","论","评论，研究。论语宪问：\""世叔讨～之。","世叔讨论之。","王力《古代汉语》"
"讽","讽","讽","背诵。周礼春官大司乐：\""以乐语教国子兴道～诵言语。","以乐语教国子兴道讽诵言语。","王力《古代汉语》"
"贬","贬","贬","灭损。左传僖公二十一年：\""～食省用。","贬食省用。","王力《古代汉语》"
"谪","谪","谪","谴责，责怪。左传成公十七年：\""国子～我。","国子谪我。","王力《古代汉语》"
"斥","斥","斥","屏弃，不用。汉书武帝纪：\""与闻国政而无益於民者～，在上位而不能进贤者退。","与闻国政而无益於民者斥，在上位而不能进贤者退。","王力《古代汉语》"
"宣","宣","宣","散布，传播。杨恽报孙会宗书：\""曾不能以此时有所建树，以～德化。","君臣宣淫。","王力《古代汉语》"
"赠","赠","赠","赠送。诗经秦风渭阳：\""何以～之？","何以赠之？琼瑰玉佩。","王力《古代汉语》"
"颠","颠","颠","头顶。诗经秦风车邻：\""有马白～。","采苓采苓，首阳之颠。","王力《古代汉语》"
"覆","覆","覆","反。诗经小雅小明：\""岂不怀归？","岂不怀归？畏此反覆。","王力《古代汉语》"
"率","率","率","循，沿着。诗经大雅绵：\""～西水浒。","率西水浒。","王力《古代汉语》"
"诣","诣","诣","诣","乘传诣长安。","王力《古代汉语》"
"历","历","历","经过。司马迁报任安书：\""足～王庭。","足历王庭。","王力《古代汉语》"
"寓","寓","寓","寓","诸侯不臣寓公。","王力《古代汉语》"
"寄","寄","寄","寄","未有第宅，寄居丘亭。","王力《古代汉语》"
"禁","禁","禁","禁止。韩非子五蠹：\""赏其功，必～无用。","赏其功，必禁无用。","王力《古代汉语》"
"戒","戒","戒","警戒，防备。周易萃卦：\""～不虞。","戒不虞。","王力《古代汉语》"
"恃","恃","恃","恃","无母何恃？","王力《古代汉语》"
"玩","玩","玩","玩弄。伪古文尚书旅獒：\""～人丧德，～物丧志。","玩人丧德，玩物丧志。","王力《古代汉语》"
"肆","肆","肆","陈设。诗经大雅行苇：\""或～之筵。","或肆或将。","王力《古代汉语》"
"敷","敷","敷","敷","敷筵席。","王力《古代汉语》"
"化","化","化","变化。周易乾卦：\""乾道变～。","所守或匪亲，化为狼与豺。","王力《古代汉语》"
"加","加","加","把一物放在另一物的上面。左传昭公八年：\""～絰於颡而逃。","夫加之以衡轭。","王力《古代汉语》"
"损","损","损","减少。跟益相对。","请损之，月攘一鸡。","王力《古代汉语》"
"刻","刻","刻","雕刻。礼记哀公问：\""器不～镂。","器不刻镂。","王力《古代汉语》"
"勒","勒","勒","套在马头上带嚼口的笼头。汉书匈奴传：\""鞌～一具。","白马嚼啮黄金勒。","王力《古代汉语》"
"郁","郁","郁","茂盛的样子。诗经秦风晨风：\""～彼北林。","郁彼北林。","王力《古代汉语》"
"舒","舒","舒","展开。跟卷相对。","赢缩卷舒。","王力《古代汉语》"
"张","张","张","把弓弦绷紧。跟弛相对。","琴羽张兮箫鼓陈。","王力《古代汉语》"
"弛","弛","弛","弛","乃弛弓而自后縛之。","王力《古代汉语》"
"是","是","是","对的，合理的。跟非相对。","自以为是。","王力《古代汉语》"
"非","非","非","不对的，不合理的。孟子公孙丑下：\""前日之不受是，则今日之受～也。","前日之不受是，则今日之受非也。","王力《古代汉语》"
"能","能","能","动词。能够做到。","非曰能之，愿学焉。","王力《古代汉语》"
"可","可","可","形容词。可以，能行。","子贡曰：\'贫而无谄，富而无骄，何如？\'子曰：\'可也。未若贫而乐，富而好礼者也。\'","王力《古代汉语》"
"以","以","以","动词。用。","视其所以。","王力《古代汉语》"
"凡","凡","凡","平凡，平庸。孟子尽心上：\""待文王而后兴者～民也。","仙凡路阻两难留。","王力《古代汉语》"
"圣","圣","圣","圣","母氏圣善。","王力《古代汉语》"
"残","残","残","动词。杀害，伤害，害。","岂不欲除残而佑仁。","王力《古代汉语》"
"暴","暴","暴","读pù，去声，旧读入声。晒。","秋阳以暴之。","王力《古代汉语》"
"甘","甘","甘","好吃，味美。孟子梁惠王上：\""为肥～不足於口与？","燕王吊死问孤，与百姓同甘苦。","王力《古代汉语》"
"辛","辛","辛","辛","大苦咸酸，辛甘行些。","王力《古代汉语》"
"鲜","鲜","鲜","读xiān。鲜鱼。","治大国若烹小鲜。","王力《古代汉语》"
"敝","敝","敝","破烂。诗经郑风缁衣：\""缁衣之宜兮，～予又改为兮。","而考之无疵，用之无敝。","王力《古代汉语》"
"寒","寒","寒","寒","岁寒，然后知松柏之后雕也。","王力《古代汉语》"
"温","温","温","暖。墨子辞过：\""古之民，未知为衣服时，衣皮带茭，冬则不轻而～，夏则不轻而凊。","缯纩无温。","王力《古代汉语》"
"幽","幽","幽","暗，深暗。跟明相对，又跟显相对。","出自幽谷，迁於乔木。","王力《古代汉语》"
"冥","冥","冥","冥","哕哕其冥。","王力《古代汉语》"
"奥","奥","奥","屋子里的西南角。论语八佾：\""与其媚於～，宁媚於灶。","与其媚於奥，宁媚於灶。","王力《古代汉语》"
"精","精","精","上等细米。跟粗相对。","食不厌精。","王力《古代汉语》"
"众","众","众","众","寡固不可以敌众。","王力《古代汉语》"
"便","便","便","安。墨子天志中：\""百姓皆得暖衣饱食，～宁无忧。","百姓皆得暖衣饱食，便宁无忧。","王力《古代汉语》"
"嘉","嘉","嘉","嘉","我有嘉宾。","王力《古代汉语》"
"遽","遽","遽","传车，送信的快车或快马。左传僖公三十三年：\""且使～告於郑。","且使遽告於郑。","王力《古代汉语》"
"速","速","速","快。礼记檀弓上：\""丧欲～贫，死欲～朽。","丧欲速贫，死欲速朽。","王力《古代汉语》"
"弥","弥","弥","满。楚辞离骚：\""芳菲菲其～章。","芳菲菲其弥章。","王力《古代汉语》"
"愈","愈","愈","病好了。孟子公孙丑下：\""昔者疾，今日～。","昔者疾，今日愈。","王力《古代汉语》"
"尤","尤","尤","罪过，过失。论语为政：\""言寡～，行寡悔。","言寡尤，行寡悔。","王力《古代汉语》"
"极","极","极","名词。原为房屋的脊檩（在房屋的最高处），引申为房梁。","其邻有夫妻臣妾登极者。","王力《古代汉语》"
"甚","甚","甚","形容词。厉害，达到了很厉害的程度。","沐甚雨，栉疾风。","王力《古代汉语》"
"最","最","最","最。庄子天下：\""然惠施之口谈，自以为～贤。","然惠施之口谈，自以为最贤。","王力《古代汉语》"
"夫","夫","夫","成年男人。诗经周南兔罝：\""赳赳武～，公侯干城。","赳赳武夫，公侯干城。","王力《古代汉语》"
"妇","妇","妇","妻。诗经卫风氓：\""三岁为～。","三岁为妇。","王力《古代汉语》"
"婴","婴","婴","缠绕，被......缠着。司马迁报任安书：\""其次剔毛发，～金铁受辱。","其次剔毛发，婴金铁受辱。","王力《古代汉语》"
"孩","孩","孩","小儿笑。老子二十章：\""如婴儿之未～。","孩提之童，莫不知爱其亲者。","王力《古代汉语》"
"亲","亲","亲","父母。孟子梁惠王上：\""未有仁而遗其～者也。","亲戚为戮，不可以莫之报。","王力《古代汉语》"
"眷","眷","眷","回顾而表示恋恋不舍。诗经大雅皇矣：\""乃～西顾。","乃眷西顾。","王力《古代汉语》"
"竹","竹","竹","竹。诗经卫风淇奥：\""绿～青青。","绿竹青青。","王力《古代汉语》"
"木","木","木","树。孟子梁惠王上：\""犹缘～而求鱼也。","犹缘木而求鱼也。","王力《古代汉语》"
"谷","谷","谷","两山之间的溪流。公羊传僖公三年：\""无障～。","吾闻出於幽谷，迁於乔木者，未闻下乔木而入於幽谷者。","王力《古代汉语》"
"壑","壑","壑","壑","溪壑可盈。","王力《古代汉语》"
"亭","亭","亭","古代的一种公家房舍，建在路旁，以便旅客投宿，亭上有楼，以便侦察盗贼。汉承秦制，十里一亭。","常数从其下乡南昌亭长寄食。","王力《古代汉语》"
"台","台","台","台。一种建筑物，筑土成正方形，高一丈以上，以便观望。","经始灵台，经之营之。","王力《古代汉语》"
"郊","郊","郊","郊。上古时代，国都百里之外为郊。","跨马出郊时极目，不堪人事日萧条。","王力《古代汉语》"
"墟","墟","墟","大丘。这个意义本写作\""虚\""。","虚","王力《古代汉语》"
"材","材","材","木材。孟子梁惠王上：\""～木不可胜用也。","材木不可胜用也。","王力《古代汉语》"
"才","才","才","才能。论语子路：\""举贤～。","举贤才。","王力《古代汉语》"
"簿","簿","簿","册子，上面记录着审问的材料或罪人的供状。史记李将军列传：\""大将军使长史急责广之幕府对～。","大将军使长史急责广之幕府对簿。","王力《古代汉语》"
"籍","籍","籍","文献，书籍。孟子万章下：\""诸侯恶其害己也，而皆去其～。","若夫姬公之籍，孔父之书。","王力《古代汉语》"
"状","状","状","状","状如不觉。","王力《古代汉语》"
"类","类","类","类","王之不王，是折枝之类也。","王力《古代汉语》"
"寿","寿","寿","长命。诗经小雅天保：\""如南山之～。","如南山之寿。","王力《古代汉语》"
"命","命","命","动词。命令。","命子封帅车二百乘以伐京。","王力《古代汉语》"
"志","志","志","心的倾向，志向，志愿。论语公冶长：\""盍各言尔～。","盍各言尔志。","王力《古代汉语》"
"趣","趣","趣","读qū。朝某一方向奔去。","趣舍异路。","王力《古代汉语》"
"涕","涕","涕","涕","泣涕涟涟。","王力《古代汉语》"
"泣","泣","泣","眼泪。史记项羽本纪：\""项羽～数行下。","项羽泣数行下。","王力《古代汉语》"
"膏","膏","膏","膏","膏火自煎也。","王力《古代汉语》"
"泽","泽","泽","水所聚的地方，一般指湖沼。孟子滕文公上：\""益烈山～而焚之。","益烈山泽而焚之。","王力《古代汉语》"
"帷","帷","帷","帷","今人主沈谄谀之辞，牵帷墙之制。","王力《古代汉语》"
"盖","盖","盖","茅草编织物，用来盖屋的，又用来遮蔽身体保暖的。左传襄公十四年：\""乃祖吾离被苫～，蒙荆棘，以来归我先君。","乃祖吾离被苫盖，蒙荆棘，以来归我先君。","王力《古代汉语》"
"梗","梗","梗","植物的枝或茎。战国策齐策三：\""有土偶人与桃～相与语。","薄宦梗犹泛。","王力《古代汉语》"
"本","本","本","树的主干。跟末相对。","禽之而乘其车，系桑本焉。","王力《古代汉语》"
"末","末","末","树杪，树梢。跟\""本\""相对。","本","王力《古代汉语》"
"纪","纪","纪","丝的头绪，丝的条理。礼记礼器：\""～散而众乱。","纪散而众乱。","王力《古代汉语》"
"载","载","载","用车装载。礼记檀弓上：\""南宫敬叔反，必～宝而朝。","南宫敬叔反，必载宝而朝。","王力《古代汉语》"
"监","监","监","读jiàn。对着盆水照看自己的形象。","古人有言曰：\'人无於水监，当於人监。\'","王力《古代汉语》"
"抚","抚","抚","抚摩。礼记丧服大记：\""主人降，北面於堂下，君～之，主人拜稽颡。","主人降，北面於堂下，君抚之，主人拜稽颡。","王力《古代汉语》"
"游","游","游","在水面上浮行。诗经邶风谷风：\""就其浅矣，泳之～之。","就其浅矣，泳之游之。","王力《古代汉语》"
"扬","扬","扬","举起来。礼记檀弓下：\""杜篑洗而～觯。","扬其目而视之。","王力《古代汉语》"
"抗","抗","抗","抵御，抵抗。列子黄帝：\""而以道与世～。","而以道与世抗。","王力《古代汉语》"
"奋","奋","奋","奋","静言思之，不能奋飞。","王力《古代汉语》"
"没","没","没","读mò。沉入水中有所取。","始浮，行数十里乃没。","王力《古代汉语》"
"通","通","通","通，通到。庄子秋水：\""舟车之所～。","舟车之所通。","王力《古代汉语》"
"达","达","达","通到，到。尚书禹贡：\""浮於淮泗，～於河。","丘未达，不敢尝。","王力《古代汉语》"
"辨","辨","辨","判别，分别。荀子荣辱：\""目～白黑美恶，耳～音声清浊，口～酸咸甘苦。","目辨白黑美恶，耳辨音声清浊，口辨酸咸甘苦。","王力《古代汉语》"
"析","析","析","析","析薪如之何？匪斧不克。","王力《古代汉语》"
"判","判","判","分，分开，分离。国语周语：\""若七德离～，民乃携贰。","强弱胜负已判矣。","王力《古代汉语》"
"切","切","切","读qiē。用刀切开。","请一切逐客。","王力《古代汉语》"
"推","推","推","以手从后用力使物体前移。左传成公二年：\""苟有险，余必下～车。","苟有险，余必下推车。","王力《古代汉语》"
"移","移","移","迁移，移动。孟子梁惠王上：\""河内凶，则～其民於河东。","河内凶，则移其民於河东。","王力《古代汉语》"
"革","革","革","去毛的兽皮。诗经召南羔羊：\""羔羊之～。","羔羊之革。","王力《古代汉语》"
"闻","闻","闻","听见。孟子梁惠王上：\""～其声，不忍食其肉。","纲罗天下放失旧闻。","王力《古代汉语》"
"宿","宿","宿","住宿，过夜。论语微子：\""止子路～。","净淘种子，渍经三宿。","王力《古代汉语》"
"随","随","随","跟随。庄子人间世：\""自吾执斧斤以～夫子，未尝见材如此其美也。","而猥随俗之毁誉也。","王力《古代汉语》"
"沮","沮","沮","沮","嬖人有臧仓者沮君，君是以不果来也。","王力《古代汉语》"
"拟","拟","拟","比量，比划。汉书苏武传：\""复举剑～之，武不动。","儗","王力《古代汉语》"
"测","测","测","测","上悬之无极之高，下垂之不测之渊。","王力《古代汉语》"
"当","当","当","读dāng。对着，面对。","盛夏之时，当风而立。","王力《古代汉语》"
"须","须","须","须。汉书高帝纪：\""隆准而龙颜，美～髯。","疏眉目，美须髯。","王力《古代汉语》"
"饶","饶","饶","富，丰足。史记陈丞相世家：\""赍用益～，游道日广。","赍用益饶，游道日广。","王力《古代汉语》"
"秀","秀","秀","谷类吐穗开花。诗经大雅生民：\""实发实～。","实发实秀。","王力《古代汉语》"
"丽","丽","丽","双，偶，成对。文心雕龙丽辞：\""岂营～辞，率然对尔。","岂营丽辞，率然对尔。","王力《古代汉语》"
"工","工","工","工人，有技艺的人。论语卫灵公：\""～欲善其事，必先利其器。","工欲善其事，必先利其器。","王力《古代汉语》"
"博","博","博","宽广，广阔。礼记中庸：\""～厚配地，高明配天。","博厚配地，高明配天。","王力《古代汉语》"
"核","核","核","考究其内在的意义。孔稚圭北山移文：\""～玄玄於道流。","核玄玄於道流。","王力《古代汉语》"
"奇","奇","奇","异乎寻常的。跟\""正\""相对。","然仆观其为人，自守奇士。","王力《古代汉语》"
"偶","偶","偶","土或木作的人像。战国策齐策三：\""有土～人与桃梗相与语。","有土偶人与桃梗相与语。桃梗谓土偶人曰。","王力《古代汉语》"
"丹","丹","丹","丹砂，朱砂，可以作彩色用。诗经秦风终南\""颜如渥～。","铁券丹书","王力《古代汉语》"
"红","红","红","浅红，桃红，粉红。论语乡党：\""～紫不以为亵服。","间色屏於红紫。","王力《古代汉语》"
"允","允","允","信，诚。尚书舜典：\""夙夜出纳朕命，惟～。","夙夜出纳朕命，惟允。","王力《古代汉语》"
"舛","舛","舛","舛","情舛错以曼忧。","王力《古代汉语》"
"宁","宁","宁","安，安宁。诗经小雅常棣：\""丧乱既平，既安且～。","丧乱既平，既安且宁。","王力《古代汉语》"
"豫","豫","豫","出游。特指天子秋日出巡。","夏谚曰：\'吾王不游，吾何以休？吾王不豫，吾何以助？一游一豫，为诸侯度。\'","王力《古代汉语》"
"尚","尚","尚","上。孟子万章下：\""以友天下之善士为未足，又～论古之人。","事为春秋，言为尚书。","王力《古代汉语》"
"攸","攸","攸","所。易经坤卦：\""君子有～往。","君子有攸往。","王力《古代汉语》"
"甫","甫","甫","始，刚刚。表时间的副词。","甫乃以情纬文，以文被质。","王力《古代汉语》"
"聊","聊","聊","藉，依赖，依靠。王粲登楼赋：\""登兹楼以四望，～暇日以销忧。","登兹楼以四望，聊暇日以销忧。","王力《古代汉语》"
"匪","匪","匪","竹制的器皿，筐子之类。孟子滕文公下：\""东征，绥厥士女，～厥玄黄。","篚","王力《古代汉语》"
"厥","厥","厥","代词。他的，它的。","遭世罔极兮，乃殒厥身。","王力《古代汉语》"
"经","经","经","织布纵线为经，跟\""纬\""（横线）相对。常用作比喻。","故情者文之经，辞者理之纬。","王力《古代汉语》"
"典","典","典","简册，重要的文献，书籍。左传昭公十二年：\""是能读三坟、五～、八索、九丘。","司晋之典籍。","王力《古代汉语》"
"简","简","简","竹简，古代用来写字的狭长竹片。一简为一行，若干简并排编起来，成为一篇文章或一本书，叫做\""策\""或\""册\""。","策","王力《古代汉语》"
"篇","篇","篇","篇","篇","王力《古代汉语》"
"词","词","词","词句，言词。文心雕龙熔裁：\""剪裁浮～谓之裁。","剪裁浮词谓之裁。","王力《古代汉语》"
"赋","赋","赋","田赋，赋税。尚书禹贡：\""厥田惟上下，厥～中上。","厥田惟上下，厥赋中上。","王力《古代汉语》"
"序","序","序","东西墙。尚书顾命：\""西～东向。","西序东向。","王力《古代汉语》"
"铭","铭","铭","铭","铭","王力《古代汉语》"
"诔","诔","诔","诔","公诔之曰。","王力《古代汉语》"
"赞","赞","赞","辅助，辅佐。左传僖公二十二年：\""天～我也。","天赞我也。","王力《古代汉语》"
"章","章","章","音乐的一章。礼记曲礼下：\""既葬，读祭礼","既葬，读祭礼；丧复常，读乐章。","王力《古代汉语》"
"表","表","表","穿在外面的衣服，罩衫。又为衣服的外层，跟\""里\""相对。","表里","王力《古代汉语》"
"旨","旨","旨","美味，好吃的东西。论语阳货：\""食～不甘，闻乐不乐。","食旨不甘，闻乐不乐。","王力《古代汉语》"
"风","风","风","风。诗经郑风风雨：\""～雨凄凄。","风雨凄凄。","王力《古代汉语》"
"骚","骚","骚","扰乱，扰动，诗经大雅常武：\""徐方绎～。\""（徐方：周时江淮一带的少数民族部落。","早暮咈吾耳，骚吾心。","王力《古代汉语》"
"翰","翰","翰","鸟名。或名天鸡。","文翰若翬雉。","王力《古代汉语》"
"藻","藻","藻","藻","于以采藻，于彼行潦。","王力《古代汉语》"
"律","律","律","规则，法令。特指刑法的条文。","秦法酷烈，而萧何造律。","王力《古代汉语》"
"荣","荣","荣","花，开花。礼记月令：\""木堇（槿）～。","古诗十九首：","王力《古代汉语》"
"华","华","华","花，开花。诗经周南桃夭：\""桃之夭夭，灼灼其～。","建翠华之旗。","王力《古代汉语》"
"轨","轨","轨","轨","今天下车同轨。","王力《古代汉语》"
"范","范","范","范","笵","王力《古代汉语》"
"规","规","规","圆规，画圆形的工具。孟子离娄上：\""不以～矩，不能成方圆。","不以规矩，不能成方圆。","王力《古代汉语》"
"则","则","则","准则，模范。诗经豳风伐柯：\""伐柯伐柯，（柯：斧子把。","楚辞离骚：","王力《古代汉语》"
"准","准","准","水平。引申为一般的平。","置平准于京师，都受天下委输。","王力《古代汉语》"
"昆","昆","昆","昆","谓他人昆。","王力《古代汉语》"
"弟","弟","弟","兄弟。左传隐公元年：\""况君之宠～乎？","有事，弟子服其劳。","王力《古代汉语》"
"形","形","形","形","参差沃若，两字穷形。","王力《古代汉语》"
"绮","绮","绮","绮","客从远方来，遗我一端绮。","王力《古代汉语》"
"练","练","练","练","澄江静如练。","王力《古代汉语》"
"伦","伦","伦","人与人之间的正常关系。论语微子：\""欲洁其身而乱大～。","欲洁其身而乱大伦。","王力《古代汉语》"
"常","常","常","永久的，固定的。论语子张：\""而亦何～师之有？","今商王受，狎侮五常。","王力《古代汉语》"
"网","网","网","鱼网上的总绳。尚书盘庚上：\""若网在～，有条而不紊。","为政贵当举网。","王力《古代汉语》"
"维","维","维","系物的大绳。淮南子天文：\""［共工］怒而触不周之山，天柱折，地～绝。","［共工］怒而触不周之山，天柱折，地维绝。","王力《古代汉语》"
"契","契","契","用刀刻。诗经大雅绵：\""爰～我龟。","锲而舍之，朽木不折；锲而不舍，金石可镂。","王力《古代汉语》"
"几","几","几","读jī。隐微。","夫易，圣人之所以极深而研几也。","王力《古代汉语》"
"始","始","始","始","终","王力《古代汉语》"
"终","终","终","终结，终了。跟\""始\""相对。","始","王力《古代汉语》"
"羞","羞","羞","进献美味，荐。左传隐公三年：\""可荐於鬼神，可～於王公。","可荐於鬼神，可羞於王公。","王力《古代汉语》"
"辱","辱","辱","名词，形容词。耻辱，可耻。","荣","王力《古代汉语》"
"创","创","创","读chuāng。名词。","裂裳衣疮。","王力《古代汉语》"
"造","造","造","到［某地］去。最初指到尊贵者的处所去。","不幸而有疾，不能造朝。","王力《古代汉语》"
"潜","潜","潜","潜","至人潜行不窒，蹈火不热。","王力《古代汉语》"
"藏","藏","藏","把谷物保藏起来。墨子三辩：\""农夫春耕，夏耘，秋敛，冬～。","农夫春耕，夏耘，秋敛，冬藏。","王力《古代汉语》"
"步","步","步","走路，特指慢慢地走。庄子田子方：\""夫子～亦～，夫子趋亦趋。","步伐","王力《古代汉语》"
