front,hl,word,meaning,sentence,analogy
"拱","拱","拱","拱","子路拱而立。","王力《古代汉语》"
"攻","攻","攻","进攻，攻打。左传僖公四年：\""以此～城，何城不克？","以此攻城，何城不克？","王力《古代汉语》"
"窃","窃","窃","偷。论语颜渊：\""苟子之不欲，虽赏之不～。","苟子之不欲，虽赏之不窃。","王力《古代汉语》"
"诛","诛","诛","谴责。论语公冶长：\""於予与何～？","於予与何诛？","王力《古代汉语》"
"翦","翦","翦","翦","勿翦勿伐。","王力《古代汉语》"
"讲","讲","讲","讲和，和解。战国策西周策：\""而秦未与魏～也。","而秦未与魏讲也。","王力《古代汉语》"
"设","设","设","安排，摆设，建立。礼记礼运：\""以～制度，以立田里。","以设制度，以立田里。","王力《古代汉语》"
"立","立","立","站着。论语微子：\""子路拱而～。","子路拱而立。","王力《古代汉语》"
"忠","忠","忠","忠","忠之属也。","王力《古代汉语》"
"信","信","信","言语真实，不虚伪。老子八十一章：\""～言不美，美言不～。","与朋友交而不信乎？","王力《古代汉语》"
"谅","谅","谅","形容词。诚实。","岂若匹夫匹妇之为谅也？","王力《古代汉语》"
"正","正","正","不偏，跟\""偏\""相对；不斜，跟\""斜\""、\""邪\""相对（邪就是斜）。","席不正不坐。","王力《古代汉语》"
"邪","邪","邪","斜的。诗经小雅采菽：\""～幅在下。","邪幅在下。","王力《古代汉语》"
"辟","辟","辟","读bì，法。诗经小雅雨无正：\""～言不信。","辟言不信。","王力《古代汉语》"
"好","好","好","貌美。战国策赵策三：\""鬼侯有子而～。","鬼侯有子而好。","王力《古代汉语》"
"恶","恶","恶","罪恶，不良的行为，跟\""善\""相对。左传宣公二年：\""为法受～。","善","王力《古代汉语》"
"敬","敬","敬","严肃。左传宣公二年：\""不忘恭～。","不忘恭敬。","王力《古代汉语》"
"慎","慎","慎","慎","敏於事而慎於言。","王力《古代汉语》"
"苟","苟","苟","苟且，不严肃。跟\""敬\""相对。","敬","王力《古代汉语》"
"显","显","显","显","不显其光。","王力《古代汉语》"
"著","著","著","显露。礼记中庸：\""诚则形，形则～，～则明。","诚则形，形则著，著则明。","王力《古代汉语》"
"相","相","相","仔细看，审察。诗经鄘风相鼠：\""～鼠有皮\""。","相鼠有皮","王力《古代汉语》"
"帅","帅","帅","帅","命子封帅车二百乘以伐京。","王力《古代汉语》"
"士","士","士","男子，特指未婚的男子。跟\""女\""相对。","女","王力《古代汉语》"
"仆","仆","仆","奴隶的一个等级。左传昭公七年：\""天有十日，人有十等，......故王臣公，公臣大夫，大夫臣士，士臣皁，皁臣舆，舆臣隶，隶臣僚，僚臣～，～臣台。","民之无辜，并其臣仆。","王力《古代汉语》"
"御","御","御","驾驶车马。论语为政：\""樊迟～。","樊迟御。","王力《古代汉语》"
"右","右","右","右边。左传成公二年：\""射其左，越於车下","兼爱，尚贤，右鬼，非命，墨子之所立也。","王力《古代汉语》"
"盗","盗","盗","盗","盗器为奸","王力《古代汉语》"
"贼","贼","贼","毁，害。论语先进：\""～夫人之子。","使鉏麑贼之。","王力《古代汉语》"
"国","国","国","国家。孟子梁惠王上：\""寡人之於～也，尽心焉耳矣。","寡人之於国也，尽心焉耳矣。","王力《古代汉语》"
"家","家","家","家，家庭。与现代的\""家\""字同义。","家","王力《古代汉语》"
"杜","杜","杜","杜","后土","王力《古代汉语》"
"稷","稷","稷","谷名，跟黍相似，但不黏。诗经王风黍离：\""彼～之穗。","彼稷之穗。","王力《古代汉语》"
